Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
5/4/16,35.935,1.07,24.5,10.3,2.38,Y,Y,Y,1.44,DnUp
5/5/16,35.878,1.06,23.4,11.3,2.07,R,Y,Y,1.42,DnUp
5/6/16,35.981,1.07,25.5,12.0,2.13,Y,Y,Y,1.41,DnUp
5/9/16,35.995,1.07,26.2,11.4,2.3,Y,Y,Y,1.41,DnUp
5/10/16,36.318,1.06,24.3,10.8,2.25,G,Y,Y,1.43,UpUp
5/11/16,36.049,1.04,21.3,12.7,1.68,Y,Y,Y,1.36,UpUp
5/12/16,35.965,1.02,20.7,14.6,1.42,Y,Y,Y,1.27,UpUp
5/13/16,35.77,1.01,17.7,15.4,1.15,R,Y,Y,1.17,DnUp
5/16/16,36.07,1.04,22.1,13.7,1.61,G,Y,Y,1.21,UpUp
5/17/16,35.775,1.0,14.8,14.8,1.0,Y,Y,Y,1.11,DnUp
5/18/16,35.748,1.0,14.0,15.8,0.88,R,Y,R,1.04,DnUp
5/19/16,35.559,0.98,12.1,17.8,0.68,R,R,R,0.97,DnDn
5/20/16,35.876,1.01,15.0,15.7,0.95,Y,G,Y,0.99,UpDn
5/23/16,35.865,1.01,14.8,15.7,0.94,Y,Y,R,1.0,DnDn
5/24/16,36.317,1.02,16.2,13.8,1.17,G,G,G,1.08,UpUp
5/25/16,36.485,1.04,19.1,12.7,1.5,Y,G,G,1.19,UpUp
5/26/16,36.489,1.03,19.4,12.8,1.51,Y,Y,G,1.23,UpUp
5/27/16,36.663,1.04,21.3,12.6,1.69,G,G,G,1.3,UpUp
5/31/16,36.669,1.04,19.6,12.4,1.58,G,Y,Y,1.31,UpUp
6/1/16,36.794,1.04,19.5,11.3,1.72,G,Y,G,1.35,UpUp
6/2/16,36.955,1.05,21.1,11.0,1.93,G,G,G,1.41,UpUp
6/3/16,36.921,1.05,21.4,11.4,1.88,Y,Y,Y,1.42,UpUp
6/6/16,37.159,1.07,23.9,10.0,2.39,G,G,G,1.47,UpUp
6/7/16,37.26,1.08,23.8,9.2,2.59,G,G,G,1.5,UpUp
6/8/16,37.421,1.09,26.7,8.9,3.01,G,G,G,1.52,UpUp
6/9/16,37.301,1.07,24.5,10.2,2.4,Y,Y,Y,1.51,UpUp
6/10/16,36.848,1.03,18.4,12.4,1.48,R,Y,Y,1.37,DnUp
6/13/16,36.559,1.0,13.9,13.8,1.01,Y,Y,Y,1.2,DnUp
6/14/16,36.416,0.99,12.4,14.7,0.85,Y,R,R,1.08,DnUp
6/15/16,36.464,1.0,12.9,14.2,0.91,Y,Y,Y,1.03,DnUp
6/16/16,36.444,0.99,12.7,14.7,0.87,R,R,R,1.0,DnUp
6/17/16,36.4,1.0,13.4,14.7,0.91,R,Y,Y,0.98,C/Dn
6/20/16,36.709,1.03,16.3,12.5,1.31,G,G,G,1.05,UpUp
6/21/16,36.716,1.02,15.4,12.1,1.27,G,Y,Y,1.08,UpUp
6/22/16,36.659,1.01,14.3,12.8,1.12,Y,Y,Y,1.07,UpUp
6/23/16,37.142,1.05,20.8,11.6,1.79,Y,G,G,1.21,UpUp
6/24/16,35.981,0.97,11.3,17.9,0.63,R,R,R,1.01,DnUp
6/27/16,35.261,0.91,7.8,26.3,0.3,Y,R,R,0.82,DnDn
6/28/16,35.776,0.95,9.6,20.9,0.46,Y,Y,Y,0.79,DnDn
6/29/16,36.33,0.99,13.5,17.1,0.79,Y,Y,Y,0.86,DnDn
6/30/16,36.798,1.02,17.7,15.2,1.16,Y,G,G,1.0,DnDn
7/1/16,36.914,1.03,19.8,14.4,1.38,Y,G,G,1.11,UpUp
7/5/16,36.599,0.99,14.4,17.3,0.83,Y,R,R,1.06,UpUp
7/6/16,36.764,0.99,14.4,15.6,0.92,G,Y,Y,1.06,UpUp
7/7/16,36.754,0.99,14.7,15.6,0.94,Y,Y,Y,1.06,UpUp
7/8/16,37.305,1.03,20.8,12.6,1.64,G,G,G,1.22,UpUp
7/11/16,37.534,1.05,22.9,11.6,1.97,G,G,G,1.37,C/Up
7/12/16,37.802,1.07,27.6,8.7,3.18,G,G,G,1.47,UpUp
7/13/16,37.765,1.06,26.3,9.4,2.79,Y,Y,Y,1.5,UpUp
7/14/16,37.863,1.07,28.7,9.4,3.06,G,G,G,1.53,UpUp
7/15/16,37.84,1.07,28.5,9.4,3.02,Y,Y,Y,1.54,UpUp
7/18/16,37.927,1.06,26.4,9.2,2.86,G,Y,Y,1.55,UpUp
7/19/16,37.804,1.05,24.5,8.8,2.78,Y,Y,Y,1.53,UpUp
7/20/16,37.972,1.06,26.8,8.7,3.07,G,Y,G,1.52,UpUp
7/21/16,37.862,1.06,25.4,8.9,2.85,Y,Y,Y,1.5,DnUp
7/22/16,38.042,1.07,27.7,8.8,3.14,G,Y,G,1.51,UpUp
7/25/16,37.932,1.05,25.4,9.6,2.66,Y,Y,Y,1.5,UpUp
7/26/16,38.053,1.07,26.5,8.0,3.33,G,G,G,1.5,UpUp
7/27/16,38.066,1.07,25.6,8.2,3.14,G,Y,Y,1.5,UpUp
7/28/16,38.115,1.07,25.8,8.8,2.93,G,Y,Y,1.5,UpUp
7/29/16,38.224,1.07,27.4,8.8,3.12,G,Y,Y,1.5,UpUp
8/1/16,38.176,1.06,25.1,9.6,2.61,Y,Y,Y,1.49,UpUp
8/2/16,37.868,1.04,18.8,9.9,1.91,Y,Y,Y,1.44,DnUp
8/3/16,38.028,1.05,20.7,9.5,2.18,Y,Y,Y,1.44,DnUp
8/4/16,38.068,1.06,21.6,9.6,2.25,Y,Y,Y,1.44,DnUp
8/5/16,38.356,1.08,27.0,9.4,2.88,G,G,Y,1.47,UpUp
8/8/16,38.378,1.08,27.1,8.8,3.08,G,Y,G,1.48,UpUp
8/9/16,38.448,1.08,27.3,8.8,3.11,G,Y,G,1.49,UpUp
8/10/16,38.336,1.07,25.7,10.0,2.57,Y,Y,Y,1.48,UpUp
8/11/16,38.49,1.08,28.2,9.7,2.91,G,G,G,1.49,UpUp
8/12/16,38.473,1.08,27.6,9.8,2.83,Y,Y,Y,1.49,UpUp
8/15/16,38.672,1.09,29.6,9.2,3.22,G,G,G,1.51,UpUp
8/16/16,38.47,1.07,24.8,9.1,2.72,Y,Y,Y,1.49,UpUp
8/17/16,38.426,1.07,24.1,9.9,2.44,Y,Y,Y,1.47,UpUp
8/18/16,38.595,1.08,27.7,9.3,2.98,G,Y,G,1.48,UpUp
8/19/16,38.546,1.07,26.3,9.6,2.73,Y,Y,Y,1.47,UpUp
8/22/16,38.577,1.07,25.3,9.3,2.72,Y,Y,Y,1.47,DnUp
8/23/16,38.69,1.08,26.1,8.6,3.04,G,G,G,1.47,UpUp
8/24/16,38.446,1.05,22.9,10.0,2.3,Y,Y,Y,1.45,UpUp
8/25/16,38.456,1.05,22.9,9.9,2.31,Y,Y,Y,1.43,DnUp
8/26/16,38.378,1.05,21.3,10.3,2.06,R,Y,Y,1.42,DnUp
8/29/16,38.536,1.06,24.1,9.8,2.46,Y,Y,Y,1.42,DnUp
8/30/16,38.492,1.06,23.0,9.0,2.54,Y,Y,Y,1.42,DnUp
8/31/16,38.388,1.05,21.4,10.0,2.14,R,Y,Y,1.41,DnUp
9/1/16,38.444,1.05,22.0,9.9,2.21,Y,Y,Y,1.41,DnUp
9/2/16,38.689,1.07,26.1,9.4,2.78,Y,G,G,1.43,UpUp
9/6/16,38.844,1.08,27.3,8.5,3.2,G,G,G,1.45,UpUp
9/7/16,38.955,1.09,27.2,7.7,3.51,G,G,G,1.46,UpUp
9/8/16,38.88,1.09,26.7,7.6,3.49,Y,Y,Y,1.46,UpUp
9/9/16,37.984,1.02,14.5,10.6,1.37,R,Y,Y,1.28,DnUp
9/12/16,38.346,1.06,19.0,9.3,2.04,Y,Y,Y,1.33,DnUp
9/13/16,37.796,1.01,11.7,11.6,1.01,Y,Y,Y,1.15,DnUp
9/14/16,37.78,1.01,11.5,12.4,0.93,Y,Y,R,1.05,DnUp
9/15/16,38.103,1.03,14.6,11.8,1.24,Y,Y,G,1.07,DnUp
9/16/16,38.024,1.02,13.6,12.6,1.08,Y,Y,Y,1.05,UpUp
9/19/16,38.137,1.03,14.9,11.8,1.26,Y,Y,Y,1.07,DnUp
9/20/16,38.118,1.01,11.6,11.5,1.01,Y,Y,Y,1.04,UpUp
9/21/16,38.509,1.04,15.8,10.1,1.57,G,G,G,1.14,UpUp
9/22/16,38.853,1.07,20.3,9.1,2.22,G,G,G,1.29,UpUp
9/23/16,38.658,1.05,17.6,9.9,1.78,Y,Y,Y,1.31,UpUp
9/26/16,38.42,1.02,12.2,11.1,1.1,Y,Y,Y,1.19,UpUp
9/27/16,38.553,1.01,11.4,10.4,1.09,G,Y,Y,1.14,UpUp
9/28/16,38.755,1.03,13.9,9.8,1.41,G,Y,Y,1.18,UpUp
9/29/16,38.439,1.01,11.0,10.9,1.01,Y,Y,Y,1.11,DnUp
9/30/16,38.714,1.03,14.1,10.5,1.35,G,Y,Y,1.15,UpUp
10/3/16,38.612,1.02,13.4,10.8,1.23,Y,Y,Y,1.14,UpUp
10/4/16,38.406,1.0,10.7,11.6,0.93,Y,Y,R,1.07,DnUp
10/5/16,38.578,1.01,13.8,11.4,1.21,Y,Y,G,1.08,DnUp
10/6/16,38.522,1.0,13.7,12.6,1.09,Y,Y,Y,1.07,UpUp
10/7/16,38.324,0.99,12.4,13.7,0.9,Y,R,R,1.02,DnUp
10/10/16,38.568,1.01,14.3,11.7,1.22,Y,G,G,1.05,DnUp
10/11/16,38.097,0.98,9.2,12.8,0.72,R,R,R,0.97,C/Dn
10/12/16,38.109,0.97,9.1,13.4,0.68,Y,R,R,0.92,DnDn
10/13/16,37.939,0.96,7.3,14.4,0.51,R,R,R,0.87,DnDn
10/14/16,37.924,0.95,7.8,15.0,0.52,R,R,Y,0.84,DnDn
10/17/16,37.827,0.95,7.7,15.1,0.51,R,Y,R,0.82,DnDn
10/18/16,38.043,0.97,8.4,12.8,0.65,Y,Y,Y,0.84,DnDn
10/19/16,38.144,0.98,10.0,12.4,0.81,G,Y,Y,0.88,UpDn
10/20/16,38.075,0.98,9.8,12.5,0.79,Y,Y,Y,0.89,UpDn
10/21/16,38.048,0.98,9.9,13.3,0.74,Y,Y,Y,0.89,UpDn
10/24/16,38.192,0.98,10.5,13.2,0.79,Y,Y,Y,0.91,UpDn
10/25/16,38.01,0.96,7.6,13.3,0.57,R,R,R,0.88,DnDn
10/26/16,37.824,0.95,7.3,15.4,0.47,Y,R,R,0.84,DnDn
10/27/16,37.59,0.93,7.2,18.5,0.39,R,R,R,0.79,DnDn
10/28/16,37.533,0.92,6.9,19.8,0.35,R,R,R,0.76,DnDn
10/31/16,37.581,0.93,7.3,19.2,0.38,Y,Y,Y,0.76,DnDn
11/1/16,37.332,0.92,5.6,19.7,0.29,R,R,R,0.74,DnDn
11/2/16,37.04,0.89,4.9,23.0,0.21,R,R,R,0.7,DnDn
11/3/16,36.87,0.88,5.2,25.8,0.2,R,R,R,0.67,DnDn
11/4/16,36.876,0.89,5.5,25.8,0.21,Y,Y,Y,0.66,DnDn
11/7/16,37.494,0.94,8.4,20.7,0.4,Y,Y,Y,0.72,DnDn
11/8/16,37.618,0.95,8.8,19.0,0.46,Y,Y,Y,0.77,UpDn
11/9/16,38.081,0.98,12.9,16.3,0.79,Y,Y,Y,0.88,UpDn
11/10/16,38.193,1.0,16.2,17.4,0.93,Y,Y,Y,0.96,UpDn
11/11/16,38.414,1.02,19.1,17.8,1.07,G,G,G,1.05,UpUp
11/14/16,38.564,0.99,18.1,18.7,0.97,G,R,R,1.09,UpUp
11/15/16,38.793,1.01,19.7,14.7,1.34,G,G,G,1.17,C/Up
11/16/16,38.754,1.01,19.4,14.8,1.31,Y,Y,Y,1.19,UpUp
11/17/16,38.897,1.02,21.0,15.3,1.37,G,G,G,1.23,UpUp
11/18/16,38.892,1.02,21.4,15.6,1.37,Y,Y,Y,1.24,UpUp
11/21/16,39.133,1.02,21.6,14.6,1.48,G,Y,G,1.29,UpUp
11/22/16,39.308,1.03,23.1,13.1,1.76,G,G,G,1.36,UpUp
11/23/16,39.38,1.03,24.3,13.4,1.81,G,Y,G,1.41,UpUp
11/25/16,39.521,1.04,24.9,13.1,1.9,G,G,G,1.46,UpUp
11/28/16,39.298,1.01,21.0,14.0,1.49,Y,Y,Y,1.38,UpUp
11/29/16,39.324,1.01,21.1,13.1,1.61,G,Y,G,1.36,UpUp
11/30/16,39.201,1.01,21.4,14.0,1.53,Y,Y,Y,1.31,DnUp
12/1/16,38.983,0.99,21.0,16.0,1.31,Y,R,Y,1.23,DnUp
12/2/16,39.013,0.99,20.8,15.7,1.32,Y,Y,Y,1.19,DnUp
12/5/16,39.391,1.03,24.3,13.9,1.75,G,G,G,1.27,UpUp
12/6/16,39.634,1.04,25.5,12.2,2.1,G,G,G,1.37,UpUp
